MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:53:07


[COMMENT]
10L(alternativas_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
10,00	12,00	-9,00	-5,00	2,00	-4,00	-1,00	-1,00	-5,00	-7,00	0,00	-3,00	1,00	-5888,00	-10,00	3,00
12,00	7,00	-9,00	-2,00	3,00	-4,00	0,00	-2,00	-3,00	-10,00	-23,00	-9,00	5,00	-5873,00	-8,00	4,00
13,00	7,00	-6,00	-1,00	4,00	-2,00	0,00	-5,00	1,00	-3,00	-9,00	-9,00	0,00	-5862,00	-9,00	6,00
10,00	6,00	-17,00	-7,00	-1,00	-4,00	0,00	-8,00	5,00	7,00	31,00	7,00	-1,00	-5850,00	-8,00	5,00
11,00	2,00	-16,00	-2,00	-2,00	-2,00	-2,00	-10,00	5,00	0,00	44,00	17,00	0,00	-5837,00	-8,00	4,00
10,00	0,00	-9,00	7,00	4,00	-4,00	0,00	-10,00	0,00	-6,00	16,00	6,00	2,00	-5823,00	-6,00	2,00
5,00	-1,00	-14,00	7,00	-1,00	-4,00	2,00	-11,00	0,00	-3,00	-18,00	0,00	3,00	-5813,00	-1,00	4,00
7,00	-1,00	-18,00	13,00	-5,00	0,00	-2,00	-2,00	-1,00	3,00	-27,00	-2,00	4,00	-5797,00	-5,00	6,00
-1,00	6,00	-14,00	9,00	-2,00	0,00	-2,00	-10,00	-1,00	0,00	-17,00	12,00	2,00	-5786,00	-8,00	8,00
-3,00	1,00	-1,00	8,00	3,00	0,00	-2,00	-13,00	-3,00	-6,00	-9,00	17,00	2,00	-5772,00	-8,00	7,00
-3,00	-3,00	-8,00	16,00	-4,00	2,00	-4,00	-24,00	-1,00	-9,00	-13,00	-14,00	4,00	-5760,00	-8,00	2,00
-8,00	-9,00	-15,00	30,00	11,00	-4,00	-4,00	-29,00	-2,00	-2,00	-9,00	-26,00	6,00	-5750,00	-7,00	2,00
-10,00	-9,00	-18,00	24,00	4,00	-9,00	-1,00	-27,00	-1,00	3,00	-3,00	-4,00	2,00	-5733,00	-6,00	3,00
-10,00	-8,00	-1,00	-14,00	3,00	-4,00	-3,00	1,00	-1,00	-9,00	0,00	-1,00	0,00	-5722,00	-8,00	4,00
-7,00	-5,00	-16,00	-28,00	1,00	-3,00	0,00	-14,00	0,00	-10,00	-2,00	10,00	0,00	-5709,00	-7,00	3,00
-6,00	-11,00	-18,00	-7,00	7,00	-4,00	-3,00	-32,00	2,00	-3,00	2,00	7,00	3,00	-5698,00	-5,00	3,00
-9,00	-8,00	-3,00	14,00	4,00	-10,00	-6,00	-38,00	6,00	3,00	6,00	-13,00	2,00	-5687,00	-6,00	0,00
-6,00	-2,00	11,00	18,00	0,00	-7,00	-1,00	-7,00	4,00	-1,00	12,00	3,00	1,00	-5675,00	-8,00	-1,00
-8,00	-1,00	24,00	4,00	-1,00	-3,00	-1,00	25,00	-3,00	-7,00	48,00	20,00	2,00	-5662,00	-6,00	5,00
-2,00	-4,00	31,00	-18,00	-5,00	-3,00	2,00	32,00	0,00	-6,00	40,00	12,00	2,00	-5648,00	1,00	6,00
-8,00	-6,00	32,00	-12,00	-1,00	-5,00	-2,00	20,00	2,00	0,00	-20,00	-6,00	1,00	-5637,00	1,00	10,00
-5,00	-8,00	21,00	-3,00	-1,00	-4,00	-3,00	27,00	-2,00	-1,00	-28,00	-13,00	2,00	-5624,00	-4,00	9,00
-8,00	-9,00	22,00	-4,00	-2,00	0,00	0,00	27,00	-1,00	-4,00	11,00	-9,00	4,00	-5610,00	-10,00	4,00
-5,00	-12,00	16,00	-2,00	-1,00	1,00	-3,00	20,00	1,00	-8,00	4,00	7,00	5,00	-5600,00	-8,00	4,00
