MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:57:11


[COMMENT]
10_G_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
14,00	-22,00	6,00	10,00	3,00	6,00	-8,00	-18,00	4,00	13,00	-7,00	-49,00	13,00	-8128,00	-6,00	7,00
11,00	-19,00	9,00	17,00	3,00	22,00	-9,00	-11,00	9,00	25,00	-2,00	-36,00	10,00	-8129,00	-5,00	11,00
14,00	-16,00	3,00	3,00	5,00	32,00	-7,00	-3,00	11,00	33,00	2,00	-29,00	12,00	-8131,00	-6,00	11,00
16,00	-13,00	-4,00	-32,00	3,00	34,00	-4,00	-6,00	13,00	27,00	2,00	-29,00	8,00	-8132,00	-6,00	10,00
0,00	-13,00	3,00	-54,00	3,00	31,00	-10,00	-6,00	14,00	28,00	6,00	-30,00	-1,00	-8132,00	-6,00	7,00
2,00	-10,00	6,00	-11,00	2,00	21,00	-2,00	-6,00	13,00	30,00	5,00	-34,00	2,00	-8135,00	-3,00	9,00
9,00	-6,00	-3,00	29,00	4,00	3,00	8,00	-2,00	12,00	24,00	5,00	-32,00	9,00	-8136,00	-2,00	9,00
2,00	-2,00	-12,00	36,00	2,00	-6,00	2,00	2,00	7,00	18,00	2,00	-36,00	13,00	-8138,00	-6,00	6,00
-1,00	-2,00	-13,00	47,00	3,00	-8,00	0,00	-2,00	9,00	17,00	0,00	-31,00	11,00	-8139,00	-6,00	6,00
3,00	1,00	-4,00	29,00	2,00	-8,00	-1,00	-2,00	7,00	19,00	3,00	-23,00	12,00	-8141,00	-6,00	6,00
0,00	6,00	-4,00	-13,00	0,00	-7,00	3,00	-1,00	12,00	11,00	3,00	-15,00	16,00	-8142,00	-8,00	5,00
