MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:56:38


[COMMENT]
10C(alternativa_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-8,00	-11,00	22,00	71,00	1,00	-1,00	-3,00	-21,00	0,00	-8,00	20,00	23,00	6,00	-5630,00	-2,00	-11,00
-7,00	-10,00	9,00	73,00	-2,00	-4,00	-1,00	-16,00	2,00	-1,00	47,00	58,00	2,00	-5644,00	-7,00	-4,00
-12,00	-14,00	0,00	139,00	0,00	-1,00	-4,00	-3,00	0,00	6,00	41,00	29,00	0,00	-5655,00	-8,00	4,00
-3,00	-10,00	-1,00	89,00	-2,00	-1,00	-1,00	-2,00	-2,00	4,00	0,00	-22,00	0,00	-5669,00	-8,00	5,00
-6,00	-9,00	-1,00	34,00	3,00	-3,00	6,00	14,00	-1,00	2,00	-25,00	-55,00	0,00	-5681,00	-6,00	4,00
-10,00	-7,00	10,00	13,00	7,00	-9,00	2,00	17,00	-4,00	0,00	-17,00	-75,00	2,00	-5693,00	-7,00	2,00
-4,00	-6,00	-5,00	-29,00	-3,00	-2,00	0,00	2,00	-3,00	2,00	2,00	-77,00	3,00	-5705,00	-8,00	4,00
-2,00	-1,00	-21,00	6,00	0,00	-2,00	-3,00	-2,00	-2,00	-4,00	0,00	-82,00	4,00	-5717,00	-6,00	8,00
-5,00	-6,00	-9,00	-18,00	2,00	-1,00	-4,00	2,00	-3,00	-6,00	-24,00	-113,00	6,00	-5728,00	-6,00	9,00
-10,00	-4,00	-6,00	-72,00	0,00	-7,00	-4,00	12,00	-3,00	-3,00	-35,00	-159,00	6,00	-5744,00	-8,00	7,00
-3,00	-11,00	10,00	-75,00	1,00	-6,00	-4,00	12,00	0,00	0,00	-21,00	-100,00	2,00	-5758,00	-9,00	10,00
-7,00	-13,00	11,00	-1,00	0,00	3,00	-7,00	-13,00	1,00	-3,00	-12,00	46,00	2,00	-5771,00	-8,00	7,00
-1,00	-17,00	7,00	23,00	0,00	12,00	-4,00	-39,00	1,00	-6,00	-11,00	94,00	4,00	-5779,00	-6,00	4,00
-7,00	-10,00	0,00	26,00	3,00	26,00	-1,00	-23,00	-2,00	-4,00	-11,00	95,00	3,00	-5792,00	-4,00	6,00
-3,00	-10,00	-5,00	-35,00	2,00	26,00	3,00	-12,00	-3,00	2,00	-7,00	175,00	0,00	-5807,00	-6,00	2,00
-7,00	-3,00	-12,00	-30,00	-1,00	18,00	0,00	4,00	-1,00	-7,00	10,00	230,00	0,00	-5820,00	-6,00	-2,00
-4,00	-3,00	-6,00	81,00	-1,00	10,00	-6,00	4,00	-3,00	-8,00	64,00	171,00	2,00	-5833,00	-8,00	0,00
-3,00	7,00	-5,00	107,00	3,00	3,00	-3,00	8,00	3,00	2,00	118,00	30,00	4,00	-5844,00	-6,00	6,00
-3,00	4,00	-13,00	71,00	0,00	-9,00	-4,00	9,00	2,00	2,00	88,00	-65,00	4,00	-5858,00	-7,00	7,00
-5,00	0,00	-19,00	29,00	2,00	-27,00	-6,00	-5,00	-1,00	-2,00	5,00	-59,00	4,00	-5868,00	-8,00	5,00
-4,00	-1,00	-14,00	6,00	-2,00	-31,00	-4,00	-3,00	-1,00	-3,00	-52,00	-65,00	4,00	-5881,00	-8,00	0,00
-5,00	-2,00	6,00	-11,00	5,00	-20,00	-1,00	3,00	-2,00	-3,00	-70,00	-115,00	1,00	-5895,00	-1,00	3,00
-5,00	-2,00	10,00	-2,00	0,00	-15,00	-4,00	-2,00	1,00	-6,00	-64,00	-103,00	0,00	-5907,00	0,00	9,00
-1,00	-9,00	3,00	12,00	-2,00	-9,00	-8,00	0,00	-1,00	-11,00	-50,00	-64,00	3,00	-5920,00	-3,00	13,00
-6,00	-12,00	6,00	18,00	2,00	-7,00	-9,00	2,00	0,00	-8,00	-28,00	-69,00	5,00	-5935,00	-10,00	12,00
-6,00	-7,00	1,00	5,00	-2,00	-8,00	-7,00	1,00	5,00	5,00	32,00	-55,00	-1,00	-5948,00	-10,00	12,00
-7,00	-13,00	-8,00	12,00	0,00	-4,00	4,00	-2,00	0,00	0,00	89,00	35,00	3,00	-5959,00	-11,00	13,00
-6,00	-12,00	-9,00	13,00	-1,00	0,00	10,00	-16,00	-3,00	4,00	64,00	106,00	12,00	-5970,00	-9,00	1,00
-5,00	-4,00	0,00	17,00	-1,00	-1,00	4,00	-23,00	0,00	7,00	8,00	68,00	3,00	-5985,00	-6,00	-8,00
-4,00	-8,00	1,00	20,00	0,00	0,00	-7,00	-29,00	-1,00	-7,00	-42,00	-11,00	2,00	-6000,00	-3,00	0,00
-5,00	-3,00	11,00	22,00	-1,00	0,00	-5,00	-6,00	-5,00	-8,00	-61,00	0,00	8,00	-6009,00	-4,00	4,00
-8,00	-2,00	-1,00	26,00	1,00	-3,00	3,00	6,00	-3,00	0,00	-32,00	87,00	2,00	-6023,00	-4,00	-4,00
-5,00	2,00	-5,00	9,00	2,00	4,00	0,00	-1,00	-2,00	-4,00	-4,00	82,00	0,00	-6035,00	-9,00	0,00
0,00	-9,00	6,00	17,00	-3,00	0,00	3,00	-2,00	-1,00	-12,00	-4,00	-1,00	0,00	-6049,00	-10,00	4,00
-7,00	-8,00	0,00	29,00	-2,00	-1,00	0,00	14,00	0,00	-14,00	0,00	-58,00	2,00	-6062,00	-8,00	2,00
-6,00	-13,00	-3,00	40,00	-1,00	-2,00	-3,00	9,00	2,00	-3,00	8,00	-91,00	3,00	-6075,00	-10,00	10,00
-3,00	-9,00	6,00	43,00	0,00	-1,00	-2,00	8,00	3,00	-1,00	0,00	-79,00	4,00	-6087,00	-9,00	7,00
-7,00	-7,00	9,00	38,00	0,00	-6,00	-12,00	2,00	0,00	-1,00	-3,00	-9,00	3,00	-6098,00	-4,00	4,00
-5,00	-3,00	11,00	65,00	2,00	-4,00	-1,00	0,00	4,00	3,00	3,00	47,00	2,00	-6111,00	-3,00	5,00
-7,00	0,00	0,00	74,00	0,00	-4,00	3,00	-13,00	3,00	10,00	9,00	58,00	2,00	-6124,00	-6,00	7,00
-6,00	0,00	-7,00	-17,00	-2,00	-8,00	5,00	0,00	-2,00	4,00	19,00	28,00	1,00	-6139,00	-8,00	13,00
-6,00	0,00	-9,00	-43,00	1,00	-15,00	4,00	-11,00	-2,00	0,00	0,00	-18,00	2,00	-6150,00	-7,00	11,00
-1,00	-4,00	1,00	-23,00	0,00	-7,00	-1,00	-29,00	-2,00	5,00	-27,00	-49,00	3,00	-6163,00	-6,00	6,00
-6,00	-8,00	10,00	-12,00	6,00	-3,00	2,00	-46,00	-1,00	-1,00	-16,00	-39,00	0,00	-6177,00	-3,00	3,00
-4,00	-2,00	-3,00	-2,00	0,00	-6,00	-2,00	-32,00	-3,00	-2,00	19,00	0,00	2,00	-6189,00	-4,00	2,00
-6,00	0,00	-43,00	7,00	-1,00	0,00	-4,00	-30,00	-8,00	7,00	43,00	30,00	3,00	-6202,00	-7,00	6,00
-1,00	-2,00	-22,00	8,00	-3,00	-2,00	-2,00	-17,00	-3,00	6,00	41,00	9,00	4,00	-6215,00	-8,00	4,00
-1,00	0,00	-20,00	2,00	-1,00	-3,00	2,00	17,00	0,00	0,00	16,00	-21,00	2,00	-6225,00	-8,00	3,00
-5,00	5,00	-5,00	6,00	-3,00	1,00	-4,00	17,00	1,00	-2,00	-14,00	-12,00	3,00	-6240,00	-9,00	5,00
-8,00	6,00	25,00	17,00	1,00	3,00	0,00	0,00	0,00	-2,00	-44,00	7,00	6,00	-6255,00	-7,00	5,00
0,00	12,00	17,00	9,00	-1,00	-1,00	-3,00	11,00	1,00	-7,00	-55,00	9,00	0,00	-6265,00	-3,00	0,00
-2,00	9,00	5,00	3,00	-1,00	-6,00	-1,00	51,00	0,00	-15,00	-28,00	-4,00	-1,00	-6278,00	-4,00	2,00
-3,00	10,00	-8,00	10,00	-3,00	2,00	0,00	39,00	3,00	-11,00	16,00	0,00	2,00	-6289,00	-5,00	0,00
2,00	3,00	3,00	-17,00	-2,00	2,00	-1,00	23,00	0,00	-13,00	19,00	52,00	4,00	-6304,00	-4,00	0,00
-4,00	-5,00	6,00	-16,00	4,00	2,00	0,00	10,00	-1,00	-16,00	-2,00	96,00	6,00	-6316,00	-6,00	6,00
-1,00	-13,00	-4,00	7,00	6,00	-3,00	-3,00	4,00	-2,00	-5,00	-2,00	72,00	2,00	-6329,00	-9,00	10,00
-1,00	-14,00	-16,00	19,00	7,00	-2,00	-11,00	6,00	0,00	11,00	7,00	38,00	4,00	-6341,00	-6,00	7,00
2,00	-13,00	6,00	12,00	8,00	-2,00	-4,00	-9,00	2,00	18,00	13,00	7,00	5,00	-6354,00	-6,00	6,00
0,00	-7,00	6,00	0,00	5,00	-2,00	-8,00	-3,00	1,00	18,00	6,00	-27,00	3,00	-6369,00	-8,00	12,00
0,00	4,00	6,00	14,00	3,00	-6,00	0,00	-5,00	0,00	13,00	-11,00	37,00	2,00	-6382,00	-6,00	7,00
-4,00	-6,00	9,00	28,00	1,00	0,00	4,00	-6,00	-2,00	4,00	-25,00	47,00	0,00	-6394,00	-7,00	-3,00
-6,00	-5,00	13,00	21,00	-1,00	0,00	7,00	5,00	0,00	-3,00	-9,00	-111,00	0,00	-6405,00	-10,00	-1,00
-2,00	-4,00	6,00	0,00	-1,00	0,00	4,00	-2,00	-1,00	-10,00	10,00	-172,00	5,00	-6418,00	-10,00	2,00
-2,00	0,00	-23,00	-15,00	-7,00	8,00	-2,00	-11,00	-3,00	-1,00	23,00	-107,00	5,00	-6431,00	-9,00	3,00
-1,00	0,00	-20,00	-25,00	1,00	6,00	-8,00	17,00	-3,00	-4,00	22,00	-80,00	4,00	-6444,00	-9,00	13,00
-4,00	-2,00	-18,00	-25,00	0,00	0,00	1,00	-10,00	0,00	-14,00	7,00	-30,00	4,00	-6456,00	-8,00	9,00
0,00	-3,00	-13,00	-5,00	7,00	9,00	0,00	17,00	-2,00	-14,00	-9,00	43,00	6,00	-6469,00	-6,00	3,00
-1,00	-3,00	3,00	-2,00	2,00	-9,00	-4,00	11,00	0,00	-11,00	-4,00	55,00	0,00	-6481,00	-3,00	17,00
14,00	-2,00	14,00	-14,00	-2,00	-6,00	0,00	2,00	0,00	-8,00	0,00	45,00	2,00	-6492,00	-2,00	29,00
9,00	-1,00	6,00	-11,00	23,00	7,00	0,00	-9,00	1,00	-3,00	2,00	61,00	5,00	-6505,00	-3,00	12,00
-6,00	-1,00	19,00	-18,00	11,00	6,00	0,00	-12,00	2,00	0,00	-1,00	117,00	2,00	-6520,00	-4,00	-20,00
16,00	2,00	0,00	24,00	0,00	-1,00	-3,00	-23,00	-2,00	7,00	-5,00	129,00	3,00	-6532,00	-4,00	-20,00
-4,00	7,00	2,00	110,00	1,00	13,00	0,00	-30,00	0,00	3,00	-6,00	37,00	1,00	-6545,00	-4,00	-10,00
7,00	2,00	6,00	73,00	20,00	-1,00	3,00	-10,00	2,00	-4,00	-10,00	-48,00	0,00	-6555,00	-6,00	-6,00
7,00	-1,00	0,00	50,00	-9,00	-2,00	-3,00	-15,00	3,00	-4,00	-11,00	-66,00	0,00	-6568,00	-8,00	0,00
-11,00	-9,00	25,00	-10,00	-7,00	-4,00	-9,00	-7,00	2,00	0,00	7,00	-111,00	0,00	-6579,00	-9,00	13,00
-9,00	-10,00	12,00	-89,00	3,00	-2,00	-9,00	4,00	-1,00	-2,00	7,00	-169,00	1,00	-6593,00	-7,00	22,00
-6,00	-4,00	-12,00	-70,00	22,00	-6,00	-6,00	2,00	-2,00	-4,00	-16,00	-87,00	3,00	-6605,00	-6,00	20,00
-1,00	-2,00	-1,00	-10,00	-10,00	-6,00	-4,00	-9,00	5,00	-7,00	-10,00	38,00	6,00	-6621,00	-10,00	11,00
-8,00	9,00	4,00	-13,00	-8,00	-3,00	-3,00	-16,00	0,00	0,00	30,00	48,00	4,00	-6632,00	-10,00	2,00
-7,00	4,00	-9,00	-13,00	12,00	0,00	-3,00	-11,00	0,00	3,00	61,00	27,00	4,00	-6644,00	-5,00	-1,00
-4,00	-3,00	-10,00	11,00	17,00	0,00	2,00	-14,00	0,00	-5,00	43,00	89,00	4,00	-6655,00	-6,00	3,00
-4,00	-4,00	-17,00	41,00	-9,00	0,00	0,00	-8,00	-1,00	-4,00	-3,00	150,00	6,00	-6668,00	-7,00	6,00
-9,00	-4,00	-17,00	37,00	13,00	-2,00	10,00	2,00	-1,00	4,00	-31,00	108,00	2,00	-6680,00	-4,00	0,00
-1,00	-2,00	10,00	31,00	-10,00	2,00	7,00	4,00	0,00	-2,00	-52,00	4,00	0,00	-6693,00	-4,00	-1,00
-2,00	2,00	10,00	22,00	-8,00	-4,00	-1,00	16,00	-2,00	-2,00	-44,00	-37,00	2,00	-6706,00	-4,00	4,00
-2,00	-4,00	-4,00	15,00	-3,00	-7,00	2,00	2,00	-2,00	-3,00	-14,00	-11,00	2,00	-6719,00	-5,00	6,00
0,00	-10,00	-19,00	4,00	-7,00	-3,00	-3,00	-8,00	0,00	0,00	-1,00	3,00	0,00	-6731,00	-8,00	6,00
-1,00	-9,00	-13,00	-2,00	-2,00	-12,00	-4,00	-3,00	-4,00	0,00	-4,00	8,00	-2,00	-6744,00	-8,00	4,00
-3,00	-11,00	6,00	-2,00	-7,00	-9,00	-1,00	-7,00	-2,00	-4,00	0,00	13,00	0,00	-6754,00	-9,00	0,00
-9,00	-5,00	6,00	2,00	-3,00	-8,00	2,00	-10,00	0,00	-3,00	0,00	7,00	4,00	-6767,00	-8,00	0,00
-4,00	-4,00	25,00	-20,00	-1,00	-3,00	-2,00	-11,00	-1,00	6,00	4,00	-29,00	0,00	-6781,00	-6,00	12,00
-1,00	2,00	29,00	-17,00	-1,00	-3,00	-3,00	-7,00	0,00	0,00	5,00	-107,00	0,00	-6792,00	-4,00	20,00
-3,00	2,00	14,00	7,00	-11,00	-2,00	-10,00	-11,00	3,00	0,00	2,00	-134,00	7,00	-6803,00	-6,00	18,00
0,00	5,00	6,00	4,00	-2,00	-6,00	-9,00	-10,00	0,00	3,00	5,00	-64,00	6,00	-6815,00	-7,00	5,00
1,00	6,00	7,00	10,00	-1,00	-1,00	-5,00	0,00	1,00	4,00	3,00	2,00	5,00	-6828,00	-3,00	6,00
7,00	6,00	-15,00	-14,00	1,00	-2,00	-2,00	-2,00	1,00	0,00	-2,00	26,00	4,00	-6840,00	-5,00	10,00
-6,00	0,00	-17,00	-37,00	2,00	0,00	1,00	-2,00	1,00	-5,00	-1,00	46,00	6,00	-6850,00	-8,00	-9,00
-3,00	-1,00	6,00	-31,00	6,00	-2,00	-3,00	-2,00	1,00	0,00	2,00	46,00	8,00	-6863,00	-10,00	-18,00
-8,00	-8,00	4,00	11,00	4,00	-8,00	0,00	0,00	-2,00	-1,00	-4,00	19,00	9,00	-6877,00	-7,00	-5,00
